SPECIES_NAME_ID,NWCA_NAME,SYMBOL,COC_reg,CREG,SCIENTIFIC_NAME,CVal,NWCA_CVAL,CVAL_final,COC_diff,Updated
135,ABIES BALSAMEA,ABBA,58,MA_NAAMH,ABIES BALSAMEA,4,4,4,0,
135,ABIES BALSAMEA,ABBA,58,ME_NAAMH,ABIES BALSAMEA,4,4,4,0,
135,ABIES BALSAMEA,ABBA,82,ME_NBPH,ABIES BALSAMEA,3,3,3,0,
135,ABIES BALSAMEA,ABBA,59,ME_NCZ,ABIES BALSAMEA,6,6,6,0,
135,ABIES BALSAMEA,ABBA,MI,MI,ABIES BALSAMEA,3,3,3,0,
135,ABIES BALSAMEA,ABBA,MN,MN,ABIES BALSAMEA,4,4,4,0,
135,ABIES BALSAMEA,ABBA,58,NH_NAAMH,ABIES BALSAMEA,4,4,4,0,
135,ABIES BALSAMEA,ABBA,58,NY_NAAMH,ABIES BALSAMEA,4,4,4,0,
135,ABIES BALSAMEA,ABBA,60,NY_OTH,ABIES BALSAMEA,9,6,9,3,
135,ABIES BALSAMEA,ABBA,83,VT_GLHL,ABIES BALSAMEA,5,5,5,0,
135,ABIES BALSAMEA,ABBA,58,VT_NAAMH,ABIES BALSAMEA,4,4,4,0,
135,ABIES BALSAMEA,ABBA,WI,WI,ABIES BALSAMEA,5,5,5,0,
618,ACALYPHA RHOMBOIDEA,ACRH,IN,IN,ACALYPHA RHOMBOIDEA,0,1,0,-1,
618,ACALYPHA RHOMBOIDEA,ACRH,59,RI_NCZ,ACALYPHA RHOMBOIDEA,2,2,2,0,
618,ACALYPHA RHOMBOIDEA,ACRH,WI,WI,ACALYPHA RHOMBOIDEA,0,1,0,-1,
796,ACER,ACER,58,VT_NAAMH,,NA,2,2,NA,
796,ACER,ACER,WI,WI,,NA,3,3,NA,
840,ACER NEGUNDO,ACNE2,MI,MI,ACER NEGUNDO,0,1,0,-1,
840,ACER NEGUNDO,ACNE2,MN,MN,ACER NEGUNDO,1,1,1,0,
840,ACER NEGUNDO,ACNE2,83,NY_GLHL,ACER NEGUNDO,1,1,1,0,
840,ACER NEGUNDO,ACNE2,61,OH_APG,ACER NEGUNDO,2,2,2,0,
840,ACER NEGUNDO,ACNE2,58,VT_NAAMH,ACER NEGUNDO,2,2,2,0,
840,ACER NEGUNDO,ACNE2,WI,WI,ACER NEGUNDO,0,1,0,-1,
862,ACER PENSYLVANICUM,ACPE,58,MA_NAAMH,ACER PENSYLVANICUM,5,5,5,0,
862,ACER PENSYLVANICUM,ACPE,58,ME_NAAMH,ACER PENSYLVANICUM,5,5,5,0,
862,ACER PENSYLVANICUM,ACPE,82,ME_NBPH,ACER PENSYLVANICUM,5,5,5,0,
862,ACER PENSYLVANICUM,ACPE,58,NH_NAAMH,ACER PENSYLVANICUM,5,5,5,0,
862,ACER PENSYLVANICUM,ACPE,58,NY_NAAMH,ACER PENSYLVANICUM,5,5,5,0,
862,ACER PENSYLVANICUM,ACPE,58,VT_NAAMH,ACER PENSYLVANICUM,5,5,5,0,
863,ACER PLATANOIDES,ACPL,59,CT_NCZ,ACER PLATANOIDES,0,0,0,0,
863,ACER PLATANOIDES,ACPL,58,NJ,ACER PLATANOIDES,0,0,0,0,
865,ACER PSEUDOPLATANUS,ACPS,59,RI_NCZ,ACER PSEUDOPLATANUS,0,0,0,0,
866,ACER RUBRUM,ACRU,58,CT_NAAMH,ACER RUBRUM,3,3,3,0,
866,ACER RUBRUM,ACRU,59,CT_NCZ,ACER RUBRUM,3,3,3,0,
866,ACER RUBRUM,ACRU,IN,IN,,NA,5,5,NA,
866,ACER RUBRUM,ACRU,58,MA_NAAMH,ACER RUBRUM,3,3,3,0,
